iter	Passed	Remaining
0	47	47747
1	48	24025
2	48	16113
3	48	12148
4	50	10008
5	50	8410
6	51	7266
7	51	6402
8	52	5733
9	52	5190
10	52	4757
11	53	4386
12	53	4081
13	54	3810
14	54	3582
15	54	3377
16	55	3203
17	55	3045
18	56	2904
19	56	2773
20	56	2655
21	57	2547
22	57	2449
23	58	2359
24	58	2277
25	58	2201
26	60	2187
27	61	2118
28	61	2054
29	61	1999
30	62	1957
31	63	1909
32	63	1861
33	64	1819
34	64	1774
35	64	1732
36	65	1693
37	65	1658
38	65	1621
39	66	1587
40	66	1557
41	66	1526
42	67	1503
43	67	1475
44	68	1448
45	68	1422
46	68	1397
47	69	1376
48	69	1353
49	70	1331
50	70	1310
51	70	1290
52	71	1270
53	71	1251
54	71	1233
55	72	1215
56	72	1198
57	72	1184
58	73	1169
59	73	1154
60	74	1140
61	74	1125
62	74	1112
63	75	1098
64	75	1085
65	75	1072
66	76	1060
67	76	1046
68	76	1035
69	77	1023
70	77	1011
71	77	1001
72	77	990
73	78	980
74	78	970
75	78	960
76	79	952
77	79	943
78	80	934
79	80	927
80	81	920
81	81	911
82	81	904
83	82	899
84	82	890
85	83	882
86	83	873
87	83	866
88	84	860
89	84	853
90	84	847
91	85	840
92	85	834
93	85	827
94	86	821
95	86	815
96	87	809
97	87	805
98	87	799
99	88	793
100	88	787
101	88	780
102	88	774
103	89	769
104	89	765
105	90	759
106	90	754
107	90	750
108	91	747
109	91	742
110	92	737
111	92	734
112	92	729
113	93	724
114	93	720
115	93	715
116	94	711
117	94	708
118	95	703
119	95	699
120	95	695
121	96	691
122	96	686
123	96	682
124	96	678
125	97	675
126	97	671
127	97	667
128	98	664
129	98	661
130	99	658
131	99	654
132	99	651
133	100	647
134	100	644
135	100	641
136	101	637
137	101	634
138	101	630
139	102	628
140	102	624
141	103	622
142	103	619
143	103	616
144	104	614
145	104	611
146	104	608
147	105	605
148	105	603
149	105	600
150	106	597
151	106	595
152	107	592
153	107	590
154	107	587
155	108	585
156	108	582
157	109	584
158	110	581
159	110	579
160	110	577
161	111	574
162	111	571
163	111	569
164	112	567
165	112	564
166	112	562
167	113	559
168	113	557
169	113	555
170	114	552
171	114	550
172	114	548
173	115	546
174	115	544
175	115	542
176	116	539
177	116	537
178	116	535
179	117	533
180	117	531
181	117	529
182	118	527
183	118	525
184	118	524
185	119	522
186	119	520
187	120	518
188	120	516
189	120	514
190	121	512
191	121	511
192	121	509
193	122	507
194	122	505
195	123	504
196	123	502
197	123	501
198	124	499
199	124	497
200	124	496
201	125	494
202	125	493
203	127	495
204	127	494
205	127	492
206	128	490
207	128	489
208	129	488
209	129	487
210	130	486
211	130	484
212	130	482
213	130	481
214	131	479
215	131	477
216	131	476
217	132	474
218	132	474
219	133	472
220	133	471
221	134	469
222	134	468
223	134	466
224	135	465
225	135	464
226	135	462
227	136	461
228	136	459
229	136	458
230	137	456
231	137	456
232	138	454
233	138	453
234	138	451
235	139	450
236	139	449
237	139	447
238	140	446
239	140	444
240	140	443
241	141	441
242	141	440
243	141	439
244	142	438
245	142	437
246	143	436
247	143	434
248	143	434
249	144	432
250	144	431
251	144	430
